profileName,review/summary,review/score
"Jennifer H. Holt ""Book lover""",This is a wonderful author,5.0
Nancy Gabor,Dr. Sue clearly &quot;tickles my soul!&quot;,5.0
"""stormkeeper-com""",Inspirational! Wonderful advice!,5.0
,It found my soul &amp; lovinglypushed it in the right direction!,5.0
,This Book Belongs in Everyone's Personal Library,5.0
"MadameX ""scribe3""",More of the same,3.0
"""marrrah""",&quot;The Best Of Me Is Yet To Be&quot;,5.0
"Hoc Stercus ""beeper99""",The ultimate &quot;touchy-feely&quot; book.,2.0
,"&quot;Inspiring, Easy-To-Read Guide To A New Life&quot;",5.0
,Great resource for re-creating your personal path,5.0
Elizabeth Doviak,Keep this book with you,5.0
,Create a Life that Tickles Your Soul,5.0
Shimmering Stardust Nebula,I was better off with Alexandra Stoddard....,2.0
"Deborah Price ""Artlady""",Very Motivational Book,5.0
Steven H. Rossi,Buy This Book!!,5.0
Donna Gooding Rossi,Only for those ready to change their life for the better!,5.0
SHR,Buy This Book! NOW!!,5.0
Laurel R Shimer,A Pleasing Puss for All Ages,5.0
"E. R. Bird ""Ramseelbird""",Zee puss in zee boots,5.0
"Dee Abel ""dee_ann_""","Beautiful, rich book",5.0
RobNZ,Am I missing something?,1.0
R. D. Allison (dallison@biochem.med.ufl.edu),A beautifully illustrated edition of this famous tale.,4.0
,Is honesty always rewarded ?,5.0
canoe42,too small to read,1.0
"Pam T ""mom,wife,fur-mom""","A Review of the Paul Galdone's ""Puss In Boots""",4.0
"S. Workman ""Micque1977""",Cat lover... How could I not!?!,5.0
"Martha Nawrocki ""Texas Wordsmith""",Puss in Boots / Jar dropper,5.0
William M. Scott,Classic story continues to appeal.,5.0
Mary Lynne Jarvis,A classic favorite.,5.0
Penemom,Great Book!,5.0
Michael Valdivielso,A short story....,4.0
M. Heiss,captivating,5.0
Deborah Keuer,Illustrations!!!,4.0
"Shanna A. Gonzalez ""eyelevelbooks.com""",A Cheerful Rendition of the Classic Fairy Tale,4.0
"Darien Summers ""Author of The Mischievous Har...",One Smart Kitty,5.0
"Jill O. Goodwin ""jog reader""",A Beautiful Book,5.0
Anne-Marie Gilliland,A well earned Caldecott,4.0
,gorgeous illustrations,5.0
"P. Cech ""lover of learning""",Not what I expected,1.0
thirdcousin,Not easy to read,3.0
"Pam T ""mom,wife,fur-mom""","A Review of the Paul Galdone version of ""Puss In Boots""",4.0
A. D. Cox,Cats,5.0
"Blue Tyson ""- Research Finished""",Free SF Reader,3.0
,Puss In Boots As A Folktale,3.0
"James J. Ferris ""Jay Ferris""","Makes ""Polish Jokes"" Not so Funny!",5.0
M. Conrad Hunter,An important read in the global war on terrorism.,4.0
"A. Benn ""ABenn""",Book Review,3.0
Craig John Morton,Informative,3.0
,"inspirational, amazing, and entertaining",5.0
FamilyResearcher,Free Frank,4.0
"S. Mitchell ""smitch""",Free Frank: A Black Pioneer on the Antebellum Frontier,5.0
Wayne F. Varner,History you never knew,5.0
Wahyu Suryadi,A well written and thought out book on Risk Management,5.0
cqhuang,A Must Read for Risk Management,5.0
"Kok Yuen, MAYBANK's Risk Strategy",The book for ALL CROs and CFOs,5.0
Edmund L. Green,This book is a must read for all mid-level and executive level managers,5.0
Ralph White,Remarkably Succinct Coverage of a Hot New Topic,5.0
Publius Critiqus,Definitely Worth a Read,4.0
William Scotti,Revisiting Lam's Predictions for the future of ERM,5.0
Damian Scelato,Very Basic. Good Summary,3.0
Gerald G. Wisz,Enterprise Risk Management: From Incentives to Controls,5.0
"Chris Mandel ""ERM Services that Drive Results!""",ERM Made Practical and Executable,5.0
,Enterprise Risk Management: From Incentives to Controls,5.0
"David R. Egloff ""rounder555""",Great for the novice Risk Manager,3.0
Edward Paules,Critical but Easy to Read and Comprehend,5.0
Xavier Thelakkatt,Fables from India Well Presented.,5.0
J. Michael Showalter,A classic children's book (and manual on life...),4.0
Vish,Good translation.,5.0
David Friedman,"Good book, unimpressive translation",5.0
Michelle Peters,Delivered on time in great condition,5.0
"Elizabeth Danziger ""la writer""","Hard-Hitting, Witty and Astute",4.0
T. Lum,"Great Update of, and Supplement to, Strunk &amp; White",5.0
Andrew Everett,Characteristics of Bad Writing,4.0
David L Zumchak,"I appreciate what he attempted, but...",2.0
MEB796,Decent book for its time.,4.0
"T. BRUTON ""Ms. Scorpio""",Mrs. T.B.,5.0
"James N. Trachtenberg ""Z8Jim""",should be 6 stars....tremendous for a man's perspective.,5.0
J. Matlaw,Very helpful!,5.0
,Excellent book to guide women through the divorce process,5.0
Nicole,a good read,4.0
sister_twilight,LOVE THIS BOOK,5.0
"Ingrid A. Jimenez ""mom in progress""",custody info,4.0
R Resnik,Irrelevant for some state & women,2.0
,What Every Woman Should Know About Divorce and Custody:,5.0
fezabel,only about custody!,1.0
,Very Informative,5.0
,Awful,1.0
,An essential resource for anyone in the divorce process.,5.0
,What Every Woman Should Know About Divorce And Cusody,5.0
Rebecca L. Patton,When you're feeling lost. . .,4.0
Ilene Greenberg,"This book is a real roadmap, precise and thorough",4.0
,From a Man's Perspective,4.0
"Amy Reed ""precious""",Very Helpful,5.0
,What Every Woman Should Know About Divorce and Custody,5.0
A clinical social worker,An invaluable resource!,5.0
Susan G. Hackley,Extremely helpful,5.0
,This book was my Bible,5.0
Dr. D. M. King,What a pity,1.0
Roy Sinclair,compelling tale of a bicycling journey,5.0
Ketzel,Will and the Headstrong Female by Marie Ferrarella,4.0
,"This is an ATLAS, not a guidebook.",5.0
"Karen GH ""clovercreekbear""",Essential if you plan to travel much in Turkey,5.0
Tundra,Touring Turkey,5.0
"Ratmammy ""The Ratmammy""",Fast-paced and suspenseful!,4.0
Harriet Klausner,enjoyable action-packed romantic thriller,5.0
,Shadow in the Glass,4.0
Britt Arnhild Lindland,Quilts from the Smithsonian,5.0
Harriet Klausner,Great futuristic romance,5.0
"Jana L. Perskie ""ceruleana""",A Riveting Futuristic Romance = An Excellent Read!,4.0
,"SHADOWER reviewed by Katherine, Ballston Book House Review",5.0
Vickie Taylor,"A book that makes you say, &quot;Ahhhhhh.....&quot;",5.0
,Shadower,5.0
Detra Fitch,Will keep you glued!,5.0
Karen Hoskins,Shadower,5.0
"Dakota ""daxydakota""",Hero Chases Heroine around the Galaxy in this Sci-Fi Romance,3.0
"Deborah MacGillivray ""Author,""",brilliant writing from a marvelous talent,5.0
Monique Atgood,Sci-Fi Story of the Smuggler & the Bounty Hunter,5.0
D. Hartley,Shadower,4.0
"L. Stapleton ""lollipop2062""",Excellent futuristic romance!,5.0
"K. Cleay ""catann985""",A Good Book,4.0
,Disappointing entry in series.,1.0
Neker,O-o-okay,1.0
"T. Chris Morrison ""seminary 1994""",Great,5.0
S. Sweeden,Baptists from the days of Jesus to now..,3.0
Driving after Dollars,Wisdom from the experts of Driving and Finance,5.0
"bookmaster25 ""Jenn""",great,5.0
momde5,Great little treasures,4.0
"Jamie Wilson ""Shilom""",A Fun Way to Learn about Health,5.0
amazon shopper,as always mercer mayer's books are the greatest,5.0
Jeanne Compagnone,Two Great Lessons,5.0
"C. Lafontant ""charlaf1""",Encourages a Kid's Healthy Lifestyle,5.0
Joan Newell,Little Critters,4.0
Paris Anderson,Your Signature Life,5.0
Edna Weedon,Your Signature Life: Pursuing God's Best Every Day,5.0
Karen Scheid,Your Signature Life by Dianna Booher,5.0
Richard R. Blake,Contemporay Wisdom from the Sages,5.0
,The Maestro at his best.....,5.0
,Sci-fi fan Discovers Asimov's Classic,5.0
,A landmark in science fiction,5.0
,Another Classic that adds to the Depth of Asimov's Universe,5.0
,the best of the serie,5.0
,Asimov=God.,5.0
,Second in the Foundation series in more way than one.,3.0
,Best of its type,5.0
,"The first written, third in order, and one of the best.",5.0
,Wonderful. Intellectually stimulating,4.0
mhall7004@aol.com,asimov's best work is the foundation series!,5.0
,Amazing Epic Story,5.0
,What science fiction is all about,4.0
,The Grand-Master Of Science Fiction At His Very Best!,5.0
,Foundation Trilogy=Science Fiction,5.0
,Asimov's early work his best,4.0
,His best novel,5.0
,My first non-star trek science fiction.,5.0
,Great Series,5.0
,The first novel. As good as the others?No. Excellent? Yes!,4.0
,I almost read the whole thing!!!,1.0
robert stewart,B-O-R-I-N-G,1.0
"R. Riordan ""dirk1234""",Waste of time;Stick to Robot novels.,1.0
G. Krehbiel,Silly religions ideas mar an otherwise average book,1.0
,"Trite, simple, unimaginative",1.0
"Sherry Neal ""Latha's mom""",What a disappointment,1.0
,Terrible,1.0
"Travis C. Ward ""C. William Anderson""",Great start to great trilogy by greatest writer ever PERIOD.,5.0
"E. Marin ""voracious reader""",Reads like a story outline,3.0
"""red_avatar2""",The Foundation Series - the future ?,5.0
"J. R. Landis ""shockeye""",Asimov's Foudation is the start of Sci-Fi,5.0
,Melodramatic pulp,2.0
sarahmarlowe,Made myself finish this one to say I'd read it,1.0
"Mr. Mike ""Sci Fi Guy""","Too much politics, not enough Science.....",2.0
Luigi San Giovanni (luigi@bayarea.net),"Wonderful book, except for the part with all the words.",2.0
Omar Azam,Nice book - that's it,3.0
Ritesh Laud,The fall of the Galactic Empire begins,4.0
Michael Bazik,Great Read,5.0
Jeanne Barstow,Classic Sci-Fi,4.0
patrios,Great,5.0
patrios,Wow!,5.0
Nora C. Doerder,Classic SF,5.0
Steveareeno,Foundation,3.0
Donald E. Ellis,readingfan,5.0
DevilDog,If you liked the first one...,4.0
"Jerry P. Reid ""jpr""",SF at its best,5.0
Robert B. Eckstein,"Visitin and Old Friend, Pt2",4.0
Sci-fi Guy,Fantastic book from one of sci-fi's greats,5.0
"Brian S. Pratt ""Author of The Morcyth Saga, T...",The Mule is out there!,5.0
a spiritual practicioner,A fast reading timeless SF masterpiece,5.0
"C. Hepworth ""Philolog""",Decent writing - but not the best,4.0
Reader from the North,Start of Great SF Series,5.0
Ralph-Michael,Sci-Fi Masterpiece,5.0
"Angela J. Thorpe ""desertprincess""",The Foundation of Science Fiction,5.0
Axel,Foundation,4.0
Kyle,"slow and somewhat disjointed, but pleasing",4.0
"Dan ""Longsword""",Among my favorites books,5.0
R. G. Nimps,Good - but not the best of Asimov,3.0
Katharine Coldiron,"Dr. A., I salute you.",5.0
Baynes Laker,Few deserve 5 stars...,5.0
Dain Vereen,"Outstanding series opener, A MUST READ",5.0
buckrichard@hotmail.com,Building A Foundation,5.0
kankan,Still going good,4.0
D. Cloyce Smith,"The General, the Mule, and Psychohistory",4.0
"C. Robinson ""bookworm""",Disappointing,2.0
Stephen Winters,Foundation,5.0
Kevin G. Vanderhoff,Classic Sci Fi,4.0
SoulM8,Among the greatest science fiction of all time,5.0
"A. Baker ""brizmus""",Reviews from Brizmus Blogs Books,4.0
"flashgordon ""flashgordon""",Still kind of a one of kind sci-fi book,4.0
liquifyx,just timeless,5.0
"J. Edgar Mihelic ""Failed Mime""",Asimov: a product of his time,5.0
"Pre-Paid Premium Shipping ""Prime""","Smart, Sporadically very Engaging",4.0
"Travis Knight ""The Weaving Knight!""","Foundation, by Isaac Asimov",5.0
"BlackHistory ""AmBlake""",So many clever characters,5.0
Galactus,Superb,5.0
Sasha,Entertaining introduction to an interesting and vividly-drawn world,5.0
Richard Laven,A classic,4.0
,a creative take on the future,5.0
Ivan Cadena,A book for all seasons,5.0
"""spideramw""",Old Fashioned but cool in a retro sort of way,5.0
JR Pinto,Encyclopaedia Galatica,4.0
"Dave Cortes ""webdave_2000""",Seldon knows better...,4.0
"G. Swift ""97jedi""",How to Save Humanity?,5.0
The Reader,The best series ever: The Foundation Series,5.0
"Jason Gonella ""philosopher""",A truly Excellent Second,5.0
"Jason Gonella ""philosopher""",An Excellent Work for any Sci-Fi Library,4.0
"C. Robinson ""bookworm""",Heads above the first book in the trilogy,4.0
Emrys Roberts,Outstanding Sequel!,5.0
Cory Williams,Two Grudge Matches For the Price of One,5.0
Adam L. Kopcinski,Solid Science Fiction,5.0
"Jason ""jsl112""",The follow up to a classic,5.0
J. Harrison,The epic saga continues...and improves,5.0
Daniel J. Cook,First Time Reader of Sci-Fi,5.0
"R. Bagula ""Roger L. Bagula""",The middle book and the mule,5.0
Dmitri M. A. Hubbard,"Its the original ""Empire strikes Back""",5.0
J. Boggs,Classic mind-stretching sci-fi,4.0
"Dave_42 ""Dave_42""",Still A Classic,3.0
,a great book,5.0
"""foxy-locky""",Great book,5.0
Ritesh Laud,The continuation of an epic series,5.0
"G. Swift ""97jedi""",Foundation Onward!,5.0
David N. Reiss,Asimov at his best,5.0
Murnert,"Entertaining, but...",3.0
Antinomian,On the Original Foundation Series (Trilogy),5.0
"S. D'Anconia ""shonstar@hotmail.com""",A Rational Science Fiction Saga,5.0
Chris Cardinal,An incredible psycho-sociological science fiction novel...,5.0
,This was the best book that I have ever read!,5.0
,SIMPLY ONE OF THE BEST,5.0
,The greatest classic of all times,5.0
,Superb Social Commentary and enjoyable reading!,5.0
,"The first written, and the worst of the series",4.0
"Kawika ""honest2u""",Never let your sense of morals prevent you from doing what is right,4.0
Plutonis,Romans in Space,3.0
"K. Leh ""ZachL""",Fantastic!,5.0
M Smith,This is both the best science fiction story and series ever,5.0
Claygui434,Excelente',5.0
"C. Hulshof ""Sic transit gloria mundi""",A novel that spawned a new era in SF,5.0
John A. Gutierrez,REPLY TO SHERRY V. NEAL,5.0
newyork2dallas,Very good anthology,4.0
doomsdayer520,Still A Masterpiece After All These Years,5.0
Dustin R.T.,Vapid Interaction on a Skeleton of a World,2.0
Omar Azam,Nice book - that's it,4.0
Notnadia,"Mind-Expanding Concept But (I'm Ducking, Folks) A Mediocre Novel",3.0
Twark Main,"Still good science fiction, even for 1951",4.0
TW,A Well Deserved Science Fiction Classic,4.0
Matthew M. Howell,A sci-fi classic,4.0
J. V. Lopez,Perfect,4.0
PPK,zzzzzz.....,1.0
"David Robinson ""Home Dad""","Big on ideas, lacking in style",2.0
"""chooch11_uk""",A big fan,4.0
,reply to strick-man,5.0
"Allan Segal ""A.S. ClarinetConcepts""",The crown jewel of post WWII SF series,5.0
stefan nickum,Foundation's of the WORLD,4.0
"Datagod ""Datagod""",It's NOT the FIRST book. Prelude to the Foundation is--AND IT'S NOT AVAILABLE ON KINDLE.,5.0
,A ok book.,4.0
JH,Epic? Not hardly. May contain spoilers.,1.0
Phillip Liou,A true classicl sci-fi novel,5.0
James,A Great Read,5.0
Dan Hayward,Psychohistory Saves Classic,3.0
Alexis Gervais,Beginners: This book is NOT a series beginning,5.0
Matt B.,"Doesn't disappoint, sets up more excitement to come.",5.0
Max Levin,The end is worth reading the entire book,4.0
C. Petit,"An excellent, very complex book",5.0
,One of the best books I've read,5.0
,One of the best books EVER written!!!,5.0
,Best science fiction novel ever written,5.0
N. Kunka,Groundbreaking for its time,4.0
A Reader,Good Old SF,4.0
Doug M,Fantastic Science Fiction Story,5.0
Gibble,A fun but not terribly deep book.,4.0
Nick,Worth every cent,5.0
"Alexandro C. Telander ""Alex C. Telander""",Foundation: Part One of Three,4.0
"Alexandro C. Telander ""Alex C. Telander""",Foundation and Empire: Part Two of Three,3.0
Patrick R. Herbert,Classic Asimov,4.0
minusthedrifter,A Classic,4.0
Freyja's Books,Good book,4.0
Romet Aidla,Interesting storyline,4.0
Bic,One of the best SF series ever written.,5.0
"Salim Mahdi ""Salim Mahdi, Magister""",Great New Edition,5.0
Brian Hawkinson,"A succinct, enjoyably light read",4.0
"Patrick A. Kellner ""PAK""",A solid sequel,4.0
M. Burgos,ASIMOV PROBABLY DREAMED OF THE KINDLE,5.0
"C. A. Luster ""The Rook""",Foundation,5.0
Peter Thatcher,One of the greatest sci-fi books of all time.,5.0
Andres Carrandi,Simply amazing.,5.0
"Kawika ""honest2u""",An AWESOME sequel!!,5.0
"""ender160""",An Interesting Look Into The Fall Of A Civilization,4.0
Scott Kruis,OF THE BOOKS/AUTHORS WHO MADE ME WHO I AM,5.0
,The classic SF novel,5.0
"""jimjoe65""",The follow-up to the best book ever.,5.0
"""jimjoe65""",The peak of science fiction.,5.0
,"Odd, yet unique sci-fi storytelling ...",5.0
,A filler,4.0
Carlos E. Silva,Can I borrow another star?,5.0
Carlos E. Silva,As adictive as the first book,5.0
,Magnificent book!,5.0
"Ryan Wilson ""Ryan Wilson""",Asimov At His Best,5.0
Avid Reader,A Real SF Classic,5.0
P. Lauber,"Sci-Fi Goodness, not without it's problems...",4.0
Steven A. Peterson,A classic tale of sci fi,5.0
"Benjamin Hamilton ""Awesome""",Science Fiction Classic,5.0
David Berbessou,Science-fiction classic,4.0
"Blue Tyson ""- Research Finished""",Not Free SF Reader,4.0
"Blue Tyson ""- Research Finished""",Not Free SF Reader,4.0
"Andrew W. Johns ""ResQgeek""",The fight to save civilization continues,3.0
William S. Oetting,Got it all the way,4.0
L. E. Cantrell,Galactic Empire Building for Dummies,5.0
"frumiousb ""frumiousb""",A meditation on galactic empire,5.0
kankan,True classic,5.0
Michael McDaniel,There's a reason this is a classic...,4.0
R. D. Allison (dallison@biochem.med.ufl.edu),Attacks on the Foundation!,4.0
Dave Deubler,Astounding Scope; Unity of Vision - A Must Read,5.0
Mark Bruinekreeft,"You'll probably either hate it, or love it.",4.0
Bill R. Moore,The essence of Asimov,4.0
Adam Ruddermann,A cornerstone of modern Science Fiction,5.0
,Future history,4.0
muad'dib,The Greatest Science Fiction...,5.0
Bladud,Read or be visionless.,5.0
Frank Bierbrauer,Other books are judged next to this,5.0
"""ltanyon""",Best Science Fiction &quot;History&quot;,5.0
Michael Lopp,Science Fiction 101,5.0
Katherine Witt,The beginning of a wonderful sci-fi series,5.0
michael wilson (etienne9@hotmail.com),excellent reading for an asimov fan,5.0
,Couldn't be better,5.0
,Wonderful Futuristic Story of the clash of Titans.,5.0
,I was expecting more...,3.0
"Donald Mitchell ""Jesus Loves You!""",Subtle Story Development Can Lull You into Stalled Thinking,5.0
"Pen Name ""P.N.""",Good? You bet. Great? Not sure ...,4.0
David Kidwell,A Definite Improvement,4.0
Reader from the North,Continuation of Great Series,5.0
"Tory ""toryofmaine""",Great Trip Around the Stars,5.0
The_BookLover,On With the Foundation!!,5.0
Frikle,A wonderful sequel,4.0
Derek W. Case,"The ""Empire Strikes Back"" of the Foundation Series",5.0
"Diran Hafiz ""dirandirandiran""",Amazing,5.0
J. S. Harbour,Book 2 of 14 in the Foundation series,5.0
"M. A. Plus ""Advanced Atheist""",I stopped about a third of the way through,2.0
Charles,"Not A Great Book By Any Means, But Well Written",4.0
Randy L Merrill,Bor-ring!,2.0
Christopher A. Horan,"Wow, I sure am WITTY",5.0
holodude,Best book EVER!,5.0
soft boy,what masterpiece?,2.0
Catopillar,This is a cult book...,1.0
"givbatam3 ""givbatam3""",The Messianic Era,5.0
,A classic!,5.0
Michael Loader,The grandfather of SF books,5.0
,A powerful introduction to the world of the master!,5.0
,The first book of the best series ever. Period.,5.0
,One of the best scifi stories available,5.0
,A required book (&amp; series) for any sf readers.,5.0
,History of the Future by Asimov,5.0
,Excellent,5.0
"fluffy, the human being.",a sane reflection for those thinking about buying this.,3.0
"Donald Mitchell ""Jesus Loves You!""",Sociological Insights Into Stimulating Human Progress,5.0
"M-I-K-E 2theD ""2theD""","Classic to some, past its atomic half-life for others",2.0
Richard Brodie,This gets more and more plausible as the years go by,5.0
"ROBERT W. SAINTJOHN ""I am The Pumpkin King""",Never gets old,5.0
,A movie version? I sure hope not.,5.0
,this is the best,5.0
,IT IS INTERESTING,5.0
,perhaps the best sci-fi trilogy ever,5.0
,A classic series that never tires.,5.0
,"Terrific, Exciting, Suspending and Surprising",5.0
,Fantastic - Deserves a Movie Version !!!,5.0
,Fantastic !!! Start a petition for a Movie Version !!!,4.0
fritzjob@msn.com,Important Fact To Know,5.0
Leon Grossman,Text to speech disabled = no sale,1.0
Angry Canuck,No Canadians allowed... WTF!,1.0
John Folsom,ZZZZZZZZZZZZZ.....Is it over yet?,1.0
K.,Read because it considered a classic,2.0
Robert Watson,Didn't Believe a Word of It,1.0
Erica Botzum,Foundation - Are kids reviewing this?,1.0
joe c mufalli,"Boring,complicated...What's all the hype about?",1.0
B. Orban,Foundation,1.0
dr,One of the worst things I've ever read,1.0
,Foundation [is not good],1.0
,&quot;Violence is the last refuge of the incompetent.&quot; -Hardin,5.0
,It opend the door for poorer future volumes...,4.0
"""drdave_22""",Give the man SOME credit,4.0
,An epic of applied memetics,5.0
,A life-changing and mind-opening classic,5.0
,Best of the genre,5.0
"Lonnie E. Holder ""The Review's the Thing""",Psychohistory Unveiled!,5.0
Skylark Thibedeau,Revisiting the Classics,4.0
David Kidwell,Be Careful of the Edition,3.0
"Dave_42 ""Dave_42""",The Best Of The Original Trilogy,4.0
ledzepplin55,Tapes were as advertise,5.0
Cecelia M. Clover,Foundation,5.0
Readingdude,Good Book,4.0
"Dave H ""Dave H""",Classic sci/fi from a master storyteller...,4.0
"David J. Gulick ""hungry reader""",Classic,5.0
Michael Erwin,Science fiction masterpiece,5.0
Ehrenfried Wolf,Classic Science Fiction,4.0
"poolnutz ""sf fan""",great series,5.0
"poolnutz ""sf fan""",great series,5.0
"M. J. Adams ""Rocket Scientist""",It Holds up,5.0
Mark,The best from one of the greats,5.0
Avid Reader,Great Left Turn,5.0
Cramer Qualls,Foundation by Isaac Asimov,5.0
,Comic Book,3.0
A. J. Cherrington,The greatest of them all,5.0
A. J. Cherrington,Great!,5.0
Robert Chandler,A True Science Fiction Classic,5.0
Bill R. Moore,On with the foundation,4.0
Erik1988,Great page turner!,5.0
Aniket Desai,Foundation is the best,5.0
"D. L. Pead ""Plundermind""",Book Review - Foundation by Isaac Asimov,4.0
N. Kunka,A promising start to a classic in science fiction,4.0
James Cooper,Smart. Thought provoking. Classic. Sci-fi at its best!,5.0
I. silverman,Where are all the other Foundation books on Kindle?,5.0
minusthedrifter,Best of the series,5.0
"Fan of Time-Life Books ""Chris""",The Past is the Future,4.0
JGK,FURTHERING FOUNDATION....,5.0
"J. Edgar Mihelic ""Failed Mime""",Going deeper,4.0
liquifyx,Everything you've heard and more,5.0
"K. McMillan ""What do you see when you stand a...",Asimov and the Foundation books are awesome,5.0
Ron [deaddude@kua.net],Best science fiction series to date!,5.0
S. Clark,Excellent!,5.0
,WOW!! Brilliant,5.0
,A must-read series of sci-fi books.,5.0
,The BEST sience fiction series ever written.,5.0
,A great book,5.0
,The Best series of books ever written,5.0
,Excellent,5.0
,OUTSTANDING a must read and re-read (by ISAAC ASIMOV),5.0
,The Essence of Science Fiction.,5.0
amsunshine,Azimov The Great,5.0
flyup,"First comes religion, then comes plutocracy, and then...",4.0
Lawrence,Fantastic.,5.0
CoMoBytes,Still one of best,5.0
Joshua Fraser,A great read - too short though.,4.0
Dotty,"Yummily unrealistic, weird how people want to make it real",4.0
jasonhad,A True Classic,4.0
Matt Smith,Great Start to the Series,4.0
patti,HUGE Asimov fan,5.0
"Michael J. Foy ""Author of The Kennedy Effect ...",Still Great!,5.0
"James Mourgos ""James""",Great Start to a Great Series!,5.0
Thad Eirich,Fantastic Sci Fi Classic,5.0
"Cap ""Dangeroux""",Best ever?,4.0
COSMOS,The Zenith of Asimov!,5.0
David Dalglish,Phenomenal,5.0
"J. Seay Jr. ""jonny polite""",great read,5.0
madlie,Awesome,5.0
Cory Williams,The Greatest Illusion of Scope in SF History?,5.0
Scott McNulty,A SciFi classic.,5.0
Adam Gonnerman,"Expansive View of Future History, Enduring Narrative",4.0
AN AVID READER,Out of nowhere,5.0
"kpsting ""Katarsis""",The Foundation,4.0
"Ty Johnston, Author",Hard science fiction at its best,4.0
Alicia Harding,Reading can seldom be this much fun!,5.0
Julie Ket,Isaac Asimov was a visionary,5.0
"debbie_200052 ""debbie_200052""","Creation of Universes, indeed",5.0
Joseph Palen,Political alternatives to war in a far off Galaxy,4.0
williamiam,Will any human institutions evolve?,4.0
"Eric G. Meeks ""Author of The Author Murders""",My most favorite book ever & I read a lot,5.0
Daniel J. Cook,Good for digestion,5.0
"AZ Written ""azay""",Weak Foundation Bodes Ill for Stellar Sequels,1.0
Fernando,"Good politics, but no science",2.0
,I used to love this book.,2.0
"D. Rahmel ""Dan Rahmel""",Very dated,2.0
Netloss,"Confused about ""classic"" status",2.0
"J. A Lewis ""brewman63""",This is a classic?,1.0
bee rye,Piece of crap from crap seller,1.0
Ro Bo,A Dud,1.0
Pippi,Poorly written,1.0
,He wants more...,5.0
,Good Book,4.0
,"Fantastic,Glorious,Amazing,Breathtaking,Overwhelming...",5.0
,over all a pretty good book,3.0
,Asimov's Best Book!,5.0
"Michael R. Benfield, Jr. ""Michael Benfield""","Well, it's Asimov",2.0
Christopher H.,A classic ... good thing it's short.,3.0
G. Grove,amazing,5.0
"J. Stoner ""Plants and Books""","Better than ""Foundation"" by ten-fold but....",3.0
"Orrin C. Judd ""brothersjudddotcom""",the Freudian &amp; Hegelian overtones are a bit off-putting,5.0
,Asimov's Masterpiece,5.0
"Jimi Dracutt ""Tusken Hawk""","The King of Sci-Fi, I can see why!!",5.0
Robby B.,A Good Step Forward,4.0
Matt J Taylor,The foundation trilogy is overated!,3.0
Chi Jow Shein,Sci-Fi Classic,4.0
,"A pleasant book for a beginning reader, not much else...",3.0
Darwin Dawkins,The greatest sci-fi book ever,5.0
"Joe Livoti ""Author of &#34;Complete Scale and...",just lost interest 3/4 way through,3.0
mark twain,Dry Sci-Fi,2.0
Michael D Ward,"Pleasant SF outing, but little more.",3.0
,Not a Foundation to Isaac Asimov's Career,2.0
Babytoxie,Finally got to it...,4.0
Matt B.,The Foundation of Science Fiction,5.0
"Patrick A. Kellner ""PAK""",Well thought out Sci-Fi,4.0
"SUPPORT THE ASPCA. ""PILUM THROWER!""",Ahead Of His Time.,4.0
D. Blankenship,THIS ONE IS GREAT BUT DEPENDS UPON YOUR TASTE,5.0
Matt Johnson,One of the best books from the best author!,5.0
J. Preece,Much more about politics than science,2.0
OverTheMoon,The SF of Economics and Futurism,4.0
C.L. Mershon,Redefined my expectations of the SciFi genre,4.0
Jennifer Sicurella,Reading with Tequila,4.0
,A decent series,4.0
Juan Pablo Forero,Asimow is one of the best writers of all times,5.0
,Great series,5.0
,Maybe I'm missing something...,3.0
,This book is NOT a great read.,3.0
Martin Piper,"Excellent, but it now!",5.0
,Psychohistory used on DS9...,5.0
,Greatness and Influence...,5.0
,"A very well writen, exciting book about a possible future of",4.0
bergers@minet.ca,Great Book for any Age,5.0
Lawrence Strauss,"A good lead-in, but the series gets better",4.0
,Simply a classic,5.0
,"It can be an applicative sociology, too.",5.0
,This book has a deeper meaning.,5.0
,Future and Past of the Human Civilization: a Epic Story,5.0
Brian Bremer (StarCivBB@msn.com),A Foundation is founded to stop the collapse of humanity.,5.0
,One of the all-time best sci-fi books.,5.0
,Excellent unless you are looking for Star Wars,4.0
,"Good novel, but the other books in the series are better.",4.0
,my favorite book by my favorite author,5.0
Red Faitholl,Asimov is the master,5.0
"Donald B. Johnson ""jazzman2222""",Get this book,5.0
Dave Fernandes,"Take it for what it is, it's great",5.0
Robert J. Crawford,a product of scifi's golden age...,5.0
Barry C. Chow,&quot;Classic&quot; is an understatement,5.0
,Excellent Read,4.0
Michael Legg,Introspective and thought provoking.,4.0
Joseph Satterthwait,"Asimov, the best scifi writer of all time",5.0
Ashish A,Excellent stepping stone to world of SF!,4.0
Katherine Witt,The beginning of a wonderful sci-fi series,5.0
Lee Anderson,Isaac,4.0
slick,Get foundation first,5.0
slick,Great read,5.0
John Lee Pesta,this story is a very slow paced,3.0
Mike Kenny,Foundation and Empire,5.0
Mike Kenny,Foundation,5.0
Lee Barney,Classic,5.0
Connie Hargroder,Classic,5.0
Rmin,Foundation and Empire,4.0
Tirioka,High expectations are not met.,3.0
D. Cloyce Smith,A psychohistorical futureworld inspired by Edward Gibbon,4.0
Dave Deubler,The Golden Age Classic Continues,5.0
Mete Hachim,If you like SF this is the one book you should read,5.0
